Taxonomie,Station
Apogon imberbis,STARESO_Spring
Apogon imberbis,STARESO_Spring
Apogon imberbis,Calvi_Spring
Boops boops,STARESO_Spring
Chelon auratus,L'Île-Rousse_Spring
Chelon auratus,L'Île-Rousse_Spring
Chelon auratus,L'Île-Rousse_Spring
Chelon auratus,Saint-Florent_Spring
Chelon auratus,Saint-Florent_Spring
Chelon auratus,Saint-Florent_Spring
Chelon auratus,Calvi_Spring
Chelon auratus,Calvi_Spring
Chelon labrosus,L'Île-Rousse_Spring
Chelon labrosus,L'Île-Rousse_Spring
Chelon labrosus,L'Île-Rousse_Spring
Chelon labrosus,L'Île-Rousse_Spring
Chelon labrosus,Saint-Florent_Spring
Chelon labrosus,Saint-Florent_Spring
Chelon labrosus,Saint-Florent_Spring
Chelon labrosus,Calvi_Spring
Chelon labrosus,Calvi_Spring
Chelon ramada,Saint-Florent_Spring
Chelon ramada,Saint-Florent_Spring
Chelon ramada,Saint-Florent_Spring
Chelon ramada,Calvi_Spring
Chelon ramada,Calvi_Spring
Chromis chromis,L'Île-Rousse_Spring
Chromis chromis,L'Île-Rousse_Spring
Chromis chromis,STARESO_Spring
Chromis chromis,Calvi_Spring
Chromis chromis,Calvi_Spring
Coris julis,STARESO_Spring
Coris julis,STARESO_Spring
Dicentrarchus labrax,Saint-Florent_Spring
Dicentrarchus labrax,Saint-Florent_Spring
Dicentrarchus labrax,Saint-Florent_Spring
Diplodus annularis,L'Île-Rousse_Spring
Diplodus annularis,Saint-Florent_Spring
Diplodus annularis,Saint-Florent_Spring
Diplodus annularis,Saint-Florent_Spring
Diplodus annularis,STARESO_Spring
Diplodus annularis,STARESO_Spring
Diplodus annularis,Calvi_Spring
Diplodus puntazzo,Saint-Florent_Spring
Diplodus puntazzo,Saint-Florent_Spring
Diplodus puntazzo,Calvi_Spring
Diplodus sargus,L'Île-Rousse_Spring
Diplodus sargus,L'Île-Rousse_Spring
Diplodus sargus,L'Île-Rousse_Spring
Diplodus sargus,L'Île-Rousse_Spring
Diplodus sargus,Saint-Florent_Spring
Diplodus sargus,Saint-Florent_Spring
Diplodus sargus,Saint-Florent_Spring
Diplodus sargus,STARESO_Spring
Diplodus sargus,Calvi_Spring
Diplodus sargus,Calvi_Spring
Diplodus vulgaris,L'Île-Rousse_Spring
Diplodus vulgaris,L'Île-Rousse_Spring
Diplodus vulgaris,L'Île-Rousse_Spring
Diplodus vulgaris,L'Île-Rousse_Spring
Diplodus vulgaris,Saint-Florent_Spring
Diplodus vulgaris,Saint-Florent_Spring
Diplodus vulgaris,STARESO_Spring
Diplodus vulgaris,Calvi_Spring
Diplodus vulgaris,Calvi_Spring
Gobio sp.,Calvi_Spring
Gobius bucchichi,L'Île-Rousse_Spring
Gobius bucchichi,STARESO_Spring
Gobius bucchichi,Calvi_Spring
Gobius bucchichi,Calvi_Spring
Gobius cobitis,L'Île-Rousse_Spring
Gobius cobitis,L'Île-Rousse_Spring
Gobius cruentatus,L'Île-Rousse_Spring
