x;value;invasive to;IUCN conservation status;
Aidablennius sphynx;Sphinx blenny;;Least Concern;
Apogon imberbis;Apogon imberbis;;Least Concern;
Belone belone;garfish;;Least Concern;
Boops boops;Boops boops;;Least Concern;
Bothus podas;Bothus podas;;Least Concern;
Ceratoscopelus maderensis;Ceratoscopelus maderensis;;Least Concern;
Chelon auratus;Chelon auratus;;Least Concern;
Chelon labrosus;thicklip grey mullet;;Least Concern;
Chelon ramada;Chelon ramada;;Least Concern;
Chromis chromis;Chromis chromis;;Least Concern;
Coris julis;Mediterranean rainbow wrasse;;Least Concern;
Dicentrarchus labrax;European seabass;;Least Concern;
Diplodus annularis;Diplodus annularis;;Least Concern;
Diplodus puntazzo;Diplodus puntazzo;;Least Concern;
Diplodus sargus;Sargo;;Least Concern;
Diplodus vulgaris;Diplodus vulgaris;;Least Concern;
Engraulis sp.;Engraulis;;;
Gobio sp.;Gobio;;;
Gobius bucchichi;Bucchich's goby;;Least Concern;
Gobius cobitis;Giant goby;;;
Gobius cruentatus;Red-mouthed goby;;Least Concern;
Gobius niger;Black goby;;Least Concern;
Labrus sp.;Labrus;;;
Lepadogaster candolii;Lepadogaster candolii;;;
Lepadogaster lepadogaster;Shore clingfish;;Least Concern;
Lepomis gibbosus;pumpkinseed;1;Least Concern;
Lithognathus mormyrus;Striped Seabream;;Least Concern;
Liza sp.;Liza;;;
Lophius budegassa;Lophius budegassa;;Data Deficient;
Millerigobius macrocephalus;Large-headed goby;;Least Concern;
Mobula mobular;devil fish;;endangered species;
Mola mola;ocean sunfish;;Vulnerable;
Mugil sp.;Mugil;;;
Mullus barbatus;Mullus barbatus;;Least Concern;
Mullus surmuletus;Mullus surmuletus;;Least Concern;
Muraena helena;Mediterranean moray;;Least Concern;
Oblada melanura;saddled seabream;;Least Concern;
Oedalechilus labeo;Oedalechilus labeo;;;
Pagellus acarne;pagell;;Least Concern;
Pagellus bogaraveo;blackspot seabream;;Near Threatened;
Pagellus erythrinus;Common pandora;;Least Concern;
Parablennius gattorugine;Tompot blenny;;Least Concern;
Parablennius incognitus;Mystery blenny;;Least Concern;
Parablennius sp.;Parablennius;;;
Pseudaphya ferreri;Pseudaphya ferreri;;Least Concern;
Salaria pavo;Peacock blenny;;Least Concern;
Sardina pilchardus;Sardina pilchardus;;Least Concern;
Sardinella aurita;Round Sardinello;;Least Concern;
Sarpa salpa;Salema porgy;;Least Concern;
Sciaena umbra;Brown Meagre;;Near Threatened;
Scorpaena porcus;black scorpionfish;;Least Concern;
Scorpaena scrofa;Scorpaena scrofa;;Least Concern;
Serranus cabrilla;Serranus cabrilla;;Least Concern;
Serranus hepatus;Serranus hepatus;;Least Concern;
Serranus scriba;Painted comber;;Least Concern;
Sparidae;Sparidae;;;
Sparus aurata;Sparus aurata;;Least Concern;
Sphyraena viridensis;Sphyraena viridensis;;Least Concern;
Spicara sp.;Spicara;;;
Spondyliosoma cantharus;Black seabream;;Least Concern;
Symphodus ocellatus;Ocellated wrasse;;Least Concern;
Symphodus sp.;Symphodus;;;
Symphodus tinca;East Atlantic peacock wrasse;;Least Concern;
Thalassoma pavo;Thalassoma pavo;;Least Concern;
Thunnus thynnus;Atlantic bluefin tuna;;Least Concern;
Trachurus sp.;Trachurus;;;
Tripterygion delaisi;Black-faced blenny;;Least Concern;
Tripterygion melanurum;Tripterygion melanurum;;Least Concern;
Tripterygion tripteronotum;Red-black triplefin;;Least Concern;
Uranoscopus scaber;Atlantic stargazer;;Least Concern;
Zebrus zebrus;Zebrus zebrus;;Least Concern;
Zeus faber;Zeus faber;;Data Deficient;
